,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Sonic the Hedgehog 3 - Official Trailer,Sonic the Hedgehog,2024-08-27,3354677,282359,0,0.08416875901912464,0.0
1,Indie World Showcase + Nintendo Direct: Partner Showcase 8.27.2024,Nintendo of America,2024-08-27,1621403,50406,4079,0.03108789116586068,0.002515722494654321
2,We Traveled Back in Time. Now Physicists Are Angry.,Kurzgesagt – In a Nutshell,2024-08-27,1601718,96213,4227,0.06006862631249696,0.002639041329372586
3,NBA 2K25 COMPLETE GAMEPLAY BREAKDOWN,Joe Knows,2024-08-27,192941,9482,893,0.04914455714441202,0.004628357891790755
4,SONIC THE HEDGEHOG 3 TRAILER REACTION!! Shadow | Knuckles | Jim Carrey | Keanu Reeves,Reel Rejects,2024-08-27,108667,6773,420,0.062328029668620645,0.003865018818960678
5,2025 Inflation Reduction Act and Medicare Part D Changes,UnitedHealthcare Medicare Plans,2024-08-21,67788,286,0,0.0042190358175488284,0.0
6,2024 DOKKAN NOW! SPECIAL (Worldwide Campaign),Bandai Namco Entertainment,2024-08-27,177891,0,0,0.0,0.0
7,Magic Johnson was HIGHLY AGITATED by Ant-Man's MJ comments 👀 - Shannon Sharpe | First Take,NBA on ESPN,2024-08-26,770671,7523,4108,0.009761623312671684,0.0053304198549056605
8,Metal Drummer Hears Led Zeppelin For The First Time,Drumeo,2024-08-27,403094,32768,4742,0.08129121247153269,0.011764005418091066
9,SONIC MOVIE 3 TRAILER WAS LIFE CHANGING. LIVE REACTION,Games Cage,2024-08-27,78021,5730,562,0.07344176567847117,0.00720318888504377
10,"""Accidentally"" Burning Down my House in My Summer Car",martincitopantsLIVE,2024-08-26,676504,40551,1426,0.059941995908376004,0.002107895888272649
11,How I Got the FNCS PICKAXE 😍,Premfn,2024-08-27,784542,14079,1971,0.01794550196165406,0.002512293796890415
12,Goodbye Rabbit.,VINwiki,2024-08-26,1029801,87497,11969,0.08496495924940838,0.011622633887518073
13,Super/Man: The Christopher Reeve Story | Official Trailer,Warner Bros. Pictures,2024-08-26,2801437,77213,3389,0.02756192625427593,0.0012097362889117265
14,KG & Paul Respond To Ant Edwards 'Eras' Comment | TICKET & THE TRUTH,ALL THE SMOKE,2024-08-26,341270,10161,3370,0.029774079174846896,0.009874879127963197
15,Beetlejuice goes ghost pepper while eating to die for ribs | Beetlejuice Beetlejuice,Warner Bros. Pictures,2024-08-26,325456,12635,541,0.038822452190157807,0.0016622830735952018
16,Call of Duty: Black Ops 6 - Multiplayer Reveal Trailer,Call of Duty,2024-08-26,16358791,67338,6346,0.004116318864884331,0.00038792597814838516
17,Trap Dickey Feat DaBaby - Blue Devils Remix (Official Video),TRAP DICKEY,2024-08-26,112823,10311,724,0.09139093979064553,0.0064171312586972515
18,Sonic the Hedgehog 3 | Projections From Around the World,Paramount Pictures,2024-08-26,300586,22344,2976,0.07433479935858622,0.009900660709414278
19,"Flau'jae, Lil Wayne - Came Out A Beast (Official Music Video)",FlaujaeVEVO,2024-08-26,253570,17623,1674,0.06949954647631817,0.00660172733367512
20,Ep.3: KaNa takes Dallas | Kenny Asks Me Out 🥰,Jana Craig,2024-08-26,178889,16580,1078,0.09268317224647686,0.006026083213612911
21,"Indiana Fever vs. Atlanta Dream | FULL GAME HIGHLIGHTS | August 26, 2024",WNBA,2024-08-27,151431,2225,524,0.014693160581386902,0.0034603218627625785
22,"Flash Flooding In The Grand Canyon | August 27, 2024",CNN 10,2024-08-26,71280,828,1363,0.011616161616161616,0.019121773288439954
23,Dee Billz - Sugarhill Mind Your Business (WhoRunItNYC Performance),Dee Billz,2024-08-26,111444,8790,684,0.07887369441154302,0.0061376117153009585
24,Bloodhound Q50 - 762 (Official Music Video),Bloodhound Q50,2024-08-26,106923,8496,727,0.07945904997053954,0.006799285467111847
25,Here's Why My Flooded McLaren P1 Project Is Taking Way Longer Than I Thought,2varish,2024-08-26,623303,31719,1669,0.05088857265246598,0.00267767041069913
26,Oasis - Oasis Live '25 [Official Trailer],Oasis,2024-08-27,719417,43348,4656,0.06025434483755596,0.006471907113676769
27,Destiny 2: Echoes | Act 3 Trailer,Destiny 2,2024-08-26,186208,6311,771,0.03389220656470184,0.004140531019075443
28,How To Make 17th Century Clotted Cream - A History,Tasting History with Max Miller,2024-08-27,173988,18318,1633,0.10528312297399821,0.009385704761247901
29,"An Official Tribute To Rob ""The Rabbit"" Pitts",Rob Pitts,2024-08-27,116228,14656,1357,0.1260969817944041,0.011675327803971505
30,I had to leave,MARKO,2024-08-26,440673,27252,1641,0.06184177383229742,0.0037238496572288295
31,Dyson is Back… Why Do These Exist?,Marques Brownlee,2024-08-26,2107368,71534,2633,0.03394471207686555,0.0012494258240611036
32,I Tried Breakfast From Every State In America,Joshua Weissman,2024-08-25,1505735,42111,7464,0.027967072559248473,0.004957047554848629
33,"I Won Mr. Beast's $1,000,000 Youtuber Challenge",JaidenAnimations,2024-08-24,7847678,679224,40419,0.08655095175923375,0.005150440678121605
34,I feel as stupid as I look - Brilliant Labs Frame,ShortCircuit,2024-08-26,480219,22249,1762,0.0463309448397502,0.0036691592794121015
35,🔥 MBAPPE HOME DEBUT 🔥 Real Madrid vs. Real Valladolid | LALIGA Highlights | ESPN FC,ESPN FC,2024-08-25,819185,10799,1107,0.013182614427754414,0.0013513431032062355
36,I Now Own 100% Of The Film Industry,The Spiffing Brit,2024-08-26,450387,28024,894,0.06222204459720196,0.0019849596014094545
37,Star Wars Outlaws Made Me Angry... | Review,MrMattyPlays,2024-08-26,270367,12700,3748,0.046973188295908894,0.013862638561658782
38,"Star Wars Outlaws Review - ""A New Nope?""",ACG,2024-08-26,419023,37421,3702,0.0893053603262828,0.008834837228505357
39,Jenna Ortega: The Puppy Interview,BuzzFeed Celeb,2024-08-26,341490,18132,573,0.05309672318369498,0.0016779407888957217
40,Race Highlights | 2024 Dutch Grand Prix,FORMULA 1,2024-08-25,4614458,100827,3547,0.021850236799208056,0.0007686709901791283
41,Apple September 9 Event CONFIRMED! iPhone 16 + Everything We're Getting!,AppleTrack,2024-08-27,238959,5780,513,0.024188249867132017,0.0021468117961658695
42,This Is Goodbye. (RIP 7/27/79 - 8/25/24),Rob Pitts,2024-08-25,2404923,78520,10951,0.03264969398188632,0.004553576143602103
43,A DAY IN MY LIFE *PREGNANT EDITON*,Samantha Jo,2024-08-26,174417,10886,793,0.06241364087216269,0.004546575161824822
44,ZEROBASEONE (제로베이스원) 'GOOD SO BAD' MV,ZEROBASEONE,2024-08-26,17538111,165931,22016,0.009461167169029778,0.001255323335563334
45,Sabrina Carpenter - Taste,SabrinaCarpenterVEVO,2024-08-23,31662988,1760054,54776,0.05558711009838996,0.0017299693888650053
46,Sheryl Rubio - No Es Casualidad (Video Oficial),Sheryl Rubio,2024-08-26,404317,42420,5443,0.10491767598196465,0.013462209108199754
47,We've Detected Ghost Particles on Earth - What this means for science,Astrum,2024-08-26,284102,12471,729,0.04389620629210635,0.0025659798241476654
48,Can we win Ninja WORLD CHAMPIONSHIPS!?,The Ninja Fam!,2024-08-25,1350655,24629,2359,0.018234856421514005,0.0017465600023692208
49,A Wild Severe Weather Pattern Is Unfolding…,"Ryan Hall, Y'all",2024-08-26,582925,30250,947,0.05189346828494232,0.0016245657674657974
50,🚨 UPSET ALERT 🚨 Florida State Seminoles vs. Georgia Tech Yellow Jackets | Full Game Highlights,ESPN College Football,2024-08-24,898218,12759,2668,0.014204792155133832,0.002970325689309277
51,Ben Shelton vs. Dominic Thiem Highlights | 2024 US Open Round 1,US Open Tennis Championships,2024-08-26,223769,2542,233,0.011359929212714897,0.0010412523629278407
52,Rainbow Six Siege: Operation Twin Shells Reveal Panel,Ubisoft,2024-08-25,253848,9557,1613,0.037648514071412814,0.006354196211906337
53,I Bought a 1947 FLYING Scraper! (Will it Run after Sitting 10+ Years?? ),Diesel Creek,2024-08-25,475886,60942,1564,0.1280600816161854,0.003286501388988119
54,I Turned My House Into a Waterpark!,Unspeakable,2024-08-24,3694377,49199,5039,0.013317265671586847,0.0013639647496722722
55,I Created the Most POWERFUL Pokemon in Hoenn,United Plays,2024-08-25,328594,22540,1041,0.06859528780196839,0.003168043238768815
56,I Built a WATERPARK In My House!,Stokes Twins,2024-08-25,17268242,328770,13213,0.019038996557958824,0.0007651618502914194
57,Game Theory: This 10 Year Old Detail SOLVES FNAF!,The Game Theorists,2024-08-24,2583941,146438,7296,0.05667234662091743,0.002823593882368057
58,Georgia Tech Upsets FSU - Josh Pate Rapid Reaction (Late Kick Cut),Josh Pate's College Football Show,2024-08-26,101467,2231,700,0.021987444193678735,0.006898794682014842
59,Awkward Stereotypes,Dude Perfect,2024-08-24,3403367,102278,3284,0.03005200438271864,0.0009649267916154796
60,"New Operator Skopos, Talos & Colossus, New Gun, Drone Update & More! R6 Operation Twin Shells",Kudos,2024-08-25,324477,9569,1692,0.02949053399778721,0.005214545252822234
61,AMP EXTREME WIPEOUT WITH MRBEAST,AMP,2024-08-23,6770896,282163,10379,0.041672918916492,0.0015328842741049338
62,How bad are these 1950s recipes?,The Grumps,2024-08-26,352157,24129,1116,0.06851773498751977,0.00316904108110871
63,What Happened At AEW ALL IN London 2024?!,Cultaholic Wrestling,2024-08-25,166889,3936,702,0.023584538226006507,0.004206388677504209
64,FIGHT HIGHLIGHTS | Floyd Mayweather vs. John Gotti III,DAZN Boxing,2024-08-25,1017856,8420,2036,0.008272289989939638,0.0020002829476861166
65,Can I Make a Pizza in Zelda Before Giving Birth?,PointCrow,2024-08-25,684214,40734,2518,0.0595340054427416,0.003680135162390714
66,Building GIANT vs TINY Race Cars!,Stay Wild,2024-08-25,6595892,88631,5922,0.013437303097139856,0.000897831559400912
67,"A Week of Cabin Life (raw, unedited)",Eamon & Bec,2024-08-25,449093,24657,1523,0.0549039953862563,0.003391279757199511
68,INSTANT RAMEN SHOWDOWN,brutalmoose,2024-08-25,296704,19350,1991,0.06521651207937877,0.006710391501294219
