,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Fortnite Battle Royale Chapter 5 Season 4 - Absolute Doom | Official Season Trailer,Fortnite,2024-08-11,2835203,145321,14063,0.051255941814395654,0.00496013865673816
1,My Daughter's FIRST DAY OF HIGH SCHOOL *Hidden Cameras*,Jordan Matter,2024-08-10,6148009,102405,12149,0.016656611921030046,0.0019760868925208144
2,Five Nights at Freddy's: Into The Pit,Markiplier,2024-08-10,2703325,180560,5623,0.06679182118317258,0.0020800310728454775
3,Disney’s Snow White | Teaser Trailer | In Theaters March 21,Walt Disney Studios,2024-08-10,5303681,55152,16733,0.010398815464203069,0.0031549785893985704
4,Megan Thee Stallion - Mamushi (feat. Yuki Chiba) [Official Video],Megan Thee Stallion,2024-08-09,5968341,468999,20616,0.07858113335012192,0.003454226224674495
5,I Worked 24 Hours at Roblox JOBS,Laughability,2024-08-11,620772,30172,3059,0.048603996314266755,0.004927735142693292
6,World cruelly mocks Aussie's 'breaking' performance in Paris 😓 after sport is debuted for first time,FOX SPORTS AUSTRALIA,2024-08-10,2187548,3044,2343,0.0013915123233867325,0.0010710622121206026
7,F1 Edition | Dude Perfect,Dude Perfect,2024-08-10,1811502,69341,2616,0.038278180206259775,0.001444105499193487
8,Team USA WINS GOLD over France as Steph Curry explodes to seal it | Paris Olympics | NBC Sports,NBC Sports,2024-08-10,2968061,53114,7091,0.01789518476877665,0.0023891018412357428
9,I Got a Pet Dinosaur (kinda),TerraGreen,2024-08-10,1997591,39877,2524,0.019962544885314362,0.0012635219121431764
10,triplets blind date for each other (ft. the kalogeras sisters),nectar,2024-08-10,1010100,37179,1508,0.036807246807246806,0.0014929214929214928
11,"D23 Expo 2024 | HUGE Disney Parks Expansions - Villains Land, Walt Disney AA, Lion King Land",DSNY Newscast,2024-08-11,130382,4832,858,0.03706033041370741,0.00658066297495053
12,Moana 2 | Official Trailer,Walt Disney Animation Studios,2024-08-10,6753952,101013,0,0.014956132350363166,0.0
13,Mufasa: The Lion King | Official Trailer,Walt Disney Studios,2024-08-10,8818010,136310,9430,0.015458136246159849,0.0010694022801062825
14,Chris Gone Crazy - Stay Mad (Official Music Video) Prod. ChewChew,Chris Gone Crazy,2024-08-10,335730,48372,18359,0.144080064337414,0.054683823310398234
15,Skeleton Crew | Official Trailer | Streaming December 3 on Disney+,Star Wars,2024-08-10,3511608,45866,7584,0.01306125285054596,0.002159694362240888
16,🚨 LATE LATE DRAMA 🚨 Manchester City vs. Manchester United | FA Community Shield Highlights | ESPN FC,ESPN FC,2024-08-10,519505,6151,667,0.011840117034484749,0.0012839144955293983
17,driving with nick sturniolo!,LARRAY,2024-08-10,416885,53878,2896,0.12923947851325907,0.006946759897813546
18,Steph Curry Gets Team USA OVER THE FINISH LINE in gold medal game | Paris Olympics | NBC Sports,NBC Sports,2024-08-11,1779917,36174,3993,0.02032341957518244,0.0022433630332200885
19,"SQUAD UPdate: Farewells, 3 New Characters, Free Skins, and More! 🌋",Squad Busters,2024-08-10,878963,42763,4006,0.048651649728145556,0.004557643495801302
20,Fortnite DOCTOR DOOM Event EXPLAINED!,Top5Gaming,2024-08-10,1196383,31351,1747,0.026204819025345563,0.001460234724164419
21,It’s Up,Drake - Topic,2024-08-10,591760,33599,4808,0.05677808571042314,0.008124915506286332
22,Simulating Africa for 100 Days,Dr. Plants,2024-08-10,875594,36917,2734,0.04216223500846283,0.0031224517299113515
23,NEW Fortnite SEASON 4 GAMEPLAY (Absolute Doom),TG Plays,2024-08-11,896239,18064,1800,0.02015533802925336,0.0020083928505677615
24,Manchester City v Manchester United | Key Moments | FA Community Shield 2024,The Emirates FA Cup,2024-08-10,3769889,39277,1424,0.010418609142072884,0.00037772995438327227
25,Steph Curry Saves the Day (and Team USA) With Doc Rivers | The Bill Simmons Podcast,Bill Simmons,2024-08-11,198716,2830,798,0.014241429980474648,0.0040157813160490346
26,I Bought A House On Temu!,Unspeakable,2024-08-10,1675519,27039,3192,0.016137686293023236,0.001905081350912762
27,*NEW* FORTNITE SEASON 4 LIVE EVENT!!,Pack A Puncher,2024-08-10,722476,10602,18,0.014674535901538598,2.4914322413478096e-05
28,"Yung Miami On Her Relationship with Diddy, JT Fallout, and Reclaiming Her Voice | Caresha Please",REVOLT,2024-08-09,2333848,83994,12590,0.035989490318135545,0.005394524407759203
29,"LeBron James, Steph Curry and Team USA receive their gold medals | Paris Olympics | NBC Sports",NBC Sports,2024-08-10,1217714,24362,2774,0.020006339748085345,0.0022780390140870518
30,"""Truth or Flare"" | Inanimate Insanity S2E15",AnimationEpic,2024-08-10,395982,32625,11072,0.08239010864130188,0.027960866908091783
31,Gnabry banger on Kane's return! | Tottenham Hotspur -vs.FC Bayern 2-3 | Highlights,FC Bayern München,2024-08-10,2511953,38486,1789,0.015321146534190727,0.0007121948539642262
32,Monster Hunter Wilds: Charge Blade | Weapon Overview,Monster Hunter,2024-08-11,544415,31771,3519,0.058358054058025584,0.006463818961637721
33,"Dolton, Illinois, mayor nowhere to be found after report reveals $3.65 million village debt",CBS Chicago,2024-08-09,1406185,20905,12871,0.01486646493882384,0.00915313418931364
34,Can we FORCE this old GMC to run again? (ALL the Ether),Diesel Creek,2024-08-10,336508,48787,1324,0.1449802084943003,0.003934527559523102
35,Being Homeschooled,Haminations,2024-08-09,2548425,114363,19735,0.044875952794372995,0.007743998744322474
36,I Built a LEGO Submarine!,Brick Science,2024-08-10,620806,10070,1105,0.0162208483809757,0.0017799441371378498
37,Latto - Georgia Peach (Official Video),Latto,2024-08-09,576960,39358,2784,0.06821616749861342,0.004825291181364393
38,Blue Green Red,Drake - Topic,2024-08-10,269643,12316,1326,0.04567520758929399,0.004917613288681701
39,Highlights & Goles: Francia vs España 3-5 | Final Fútbol Masculino | Juegos Olímpicos París 2024,Telemundo Deportes,2024-08-09,379990,4381,940,0.0115292507697571,0.002473749309192347
40,Arcane: Season 2 | Enemy of My Enemy | Official Clip,League of Legends,2024-08-10,1144721,57820,1764,0.05051012430103056,0.0015409868430822883
41,"Justin Fields struggles for Steelers, Michael Penix Jr.'s debut & Eagles in action 🏈 | SportsCenter",NFL on ESPN,2024-08-10,285542,2301,1298,0.008058359190591927,0.004545741081872369
42,Can Cooking Mama make you good at cooking?,Burback,2024-08-09,576658,32081,1135,0.055632628004813944,0.001968237672936125
43,"FULL SEGMENT: Roman Reigns lays waste to The Bloodline: SmackDown, Aug. 9, 2024",WWE,2024-08-10,3009518,97789,7276,0.032493243104045236,0.002417662894855588
44,Breaking’s First (And Last?) Olympic Appearance | Olympics | Sports Illustrated,Sports Illustrated,2024-08-10,791682,852,836,0.0010761896822208917,0.0010559795473435041
45,"I Love Raygun, The Australian Olympic Breakdancer",Lessons in Meme Culture,2024-08-10,826752,12605,1375,0.015246410047995046,0.0016631347731847035
46,WE BECAME DADS FOR 24 HOURS!!! (TO EGGS),Sturniolo Triplets,2024-08-09,930574,115421,13072,0.12403204903640119,0.01404724395910481
47,Why I Made Her Entire Sky Fall...,Quiff,2024-08-09,455800,7110,359,0.015598946906537955,0.0007876261518209741
48,TRAVELING TO AMERICA 🇺🇸 w/Norris Nuts,The Norris Nuts,2024-08-10,989247,28371,5887,0.028679389475024943,0.0059509910062906434
49,You Can't Leave This Roblox Game..,Foltyn,2024-08-10,675046,14360,4143,0.021272624384116045,0.006137359528091419
50,Houston Texans vs. Pittsburgh Steelers | 2024 Preseason Week 1 Game Highlights,NFL,2024-08-10,777590,8487,1223,0.010914492213120025,0.0015728082922877094
51,SATURDAY NIGHT – Official Trailer (HD),Sony Pictures Entertainment,2024-08-08,1477801,19000,1758,0.012856940819501408,0.001189605366351762
52,HIGHLIGHTS | NEW ZEALAND v ARGENTINA | The Rugby Championship 2024,SUPER RUGBY PACIFIC & TRC,2024-08-10,582005,7590,1383,0.013041125076245049,0.002376268245118169
53,Yeri Mua - Traka (Video Oficial),YeriMuaVEVO,2024-08-09,2617800,216731,11541,0.08279127511651005,0.004408663763465505
54,"After 100+ parts and 45 hours of practice, I did it",Stuff Made Here,2024-08-09,1596677,101799,3668,0.06375678988298823,0.002297271145009291
55,Shawn Mendes - Why Why Why (Official Music Video),ShawnMendesVEVO,2024-08-09,2941135,268982,12912,0.0914551695178902,0.0043901419010008045
56,Our FIRST LOOK At Fortnite SEASON 4!,Top5Gaming,2024-08-09,1319049,29509,1842,0.02237142062197841,0.0013964606318643204
57,Fixing our 50 Year Old Semi Truck - BIGTIME,BigTime,2024-08-09,1060686,88283,5463,0.0832319838293331,0.005150440375379707
58,An Ancient Roman Shipwreck May Explain the Universe,SciShow,2024-08-08,2033795,61928,6065,0.030449479913167255,0.002982109799660241
59,100 EXTREME Basketball Challenges!,Jesser Reacts,2024-08-09,470200,8684,455,0.01846873670778392,0.0009676733304976605
60,PENALTY SHOOTOUT IN FULL 👀 | Man City beat Man United on pens to win Community Shield 🏆 | ITV Sport,ITV Sport,2024-08-10,1470815,20741,1392,0.014101705517009277,0.0009464140629514929
61,Men's 100 Meter Finals Were HISTORIC || Noah Lyles VS. Kishane Thompson - Paris Olympics 2024,Total Running Productions,2024-08-04,2862939,14439,2382,0.005043418668717706,0.0008320121385750797
62,"DRAGON BALL LEGENDS ""REVEALS ＆ STUFF #37""",Bandai Namco Entertainment,2024-08-09,303341,0,0,0.0,0.0
63,Miscellaneous Myths: Cadmus,Overly Sarcastic Productions,2024-08-09,237138,28097,1636,0.11848375207684976,0.006898936484241243
