,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Taylor Swift - I Can Do It With A Broken Heart (Official Video),Taylor Swift,2024-08-20,7524341,696968,37326,0.0926284441388289,0.004960700212815979
1,Descúbrelo TODO sobre nosotros. ¿Quién ganará?,UR · Cristiano,2024-08-21,7166964,1025279,82853,0.14305625087554508,0.011560404098583445
2,Eminem - Somebody Save Me (feat. Jelly Roll) [Official Music Video],EminemVEVO,2024-08-21,1741279,253515,18208,0.14559125792018396,0.010456681554190914
3,When I met the most famous Cristiano,UR · Cristiano,2024-08-21,5379554,695828,43991,0.12934678227972057,0.008177443706299817
4,Georgina y yo te contamos de qué trata #UR Cristiano,UR · Cristiano,2024-08-21,4375904,728722,55068,0.1665306185876107,0.01258437113794087
5,Borderlands 4 - Official Teaser Trailer,Borderlands,2024-08-20,1647461,50191,8299,0.030465668079547863,0.005037448534441787
6,"If You Clean It, You Keep It!",Stay Wild,2024-08-20,8035375,133347,8884,0.016594994010858236,0.0011056111258030896
7,Secret Level - Teaser Trailer | Prime Video,Prime Video,2024-08-20,1453713,69598,4461,0.04787602504758504,0.003068693751792823
8,Sid Meier’s Civilization VII - Official Gameplay Showcase,Sid Meier's Civilization,2024-08-20,1249827,43081,6471,0.034469570588569455,0.005177516568293052
9,Sid Meier’s Civilization VII - Gameplay Reveal Trailer,Sid Meier's Civilization,2024-08-20,1566895,33351,2952,0.02128477019838598,0.0018839807389774044
10,"SIDEMEN AMONG US TRIPLE ROLES: EXECUTIONER, VETERAN & HAUNTER!",MoreSidemen,2024-08-20,2945269,150376,4260,0.051056796509928296,0.0014463874097747948
11,"Life After Love Island with Serena Page and Kordell Beckham | Baby, This Is Keke Palmer | Podcast","Baby, This is Keke Palmer",2024-08-20,202317,14360,909,0.07097772307813975,0.004492949183706757
12,Street Fighter 6 - Terry Gameplay Trailer,Street Fighter,2024-08-20,988841,63908,5922,0.0646291972116852,0.0059888293466795976
13,Y2K | Official Trailer HD | A24,A24,2024-08-20,747917,23548,2373,0.03148477705413836,0.0031728119564069274
14,Control | Juno Hero Trailer | Overwatch 2,PlayOverwatch,2024-08-21,273870,26604,2205,0.09714097929674663,0.008051265198816956
15,10 NEW Costco Deals You NEED To Buy in August 2024,The Deal Guy,2024-08-21,222221,22392,495,0.10076455420504812,0.0022275122513173823
16,Repairing a Totaled CyberTruck Has Been an Absolute Nightmare...,BoostedBoiz,2024-08-21,361693,20823,1848,0.05757092340742011,0.0051093054054128775
17,Voters Decide: Florida Primary Election,CBS Miami,2024-08-21,120449,822,365,0.006824465126319023,0.0030303281886939703
18,This Game is NOT Among Us,SMii7Yplus,2024-08-20,1230903,79005,2068,0.06418458643776155,0.0016800673976747151
19,Shayne Topp Eats His Last Meal,Mythical Kitchen,2024-08-20,717654,36212,1670,0.05045885621762019,0.0023270266730207037
20,Black Ops 6 at gamescom - “Most Wanted” Campaign Level Playthrough,Call of Duty,2024-08-20,431777,22648,1900,0.052453002360014545,0.004400419661075045
21,I SPENT $2000 ON MY GENDER REVEAL GIFT!!! (JAYCO & VAL REVEAL),Santea,2024-08-21,166209,10276,412,0.06182577357423485,0.0024788068034823627
22,World’s Most Satisfying Videos!,Stay Wild Reacts,2024-08-20,538586,9152,1096,0.01699264370035612,0.0020349582053748147
23,SONIC X SHADOW GENERATIONS - Doom Powers Trailer,Sonic the Hedgehog,2024-08-20,493828,39304,5766,0.07959046469621002,0.011676130150578744
24,Kodak Black -  Sharp Vibes [Official Music Video],Kodak Black,2024-08-20,637373,51237,3101,0.08038777921248626,0.004865282966175223
25,"$5,000 Truck Challenge - Trailer/Preview",Cleetus2 McFarland,2024-08-20,140546,11487,699,0.08173124813228409,0.00497346064633643
26,The Deadpool Killer - This clown thought he could get away with murder and then escape from jail?!,Bailey Sarian,2024-08-19,935820,41253,2355,0.044082195293966786,0.0025165095851766364
27,Mafia: The Old Country - Official Teaser Trailer,Mafia Game,2024-08-20,450345,22737,2496,0.050487959231256034,0.0055424174799320524
28,"'Love Island USA' Cast Relives Rob's Dumping Freakout, Fire Pit Scene and More | PEOPLE",People,2024-08-20,282526,11961,454,0.04233592660498503,0.0016069317514140291
29,EBK Jaaybo - Kaboom (Official Music Video),EBK Jaaybo,2024-08-20,100478,10695,635,0.10644121101136567,0.006319791397121758
30,Starfield: Official REV-8 Trailer,Bethesda Softworks,2024-08-20,323376,13949,3009,0.04313554500024739,0.009304957696303993
31,HOW WOULD YOU KNOW!? 🗣️ Stephen A. reacts to Carmelo's NBA title vs. gold medal claim | First Take,NBA on ESPN,2024-08-20,144573,1917,1214,0.013259737295345604,0.008397141928299198
32,Overwatch 2 - EVERY HERO CHANGE for Season 12: New Frontiers,KarQ,2024-08-20,254984,8339,888,0.032704012800803185,0.003482571455463872
33,paris during the olympics,emma chamberlain,2024-08-20,461972,27970,1137,0.060544794922636,0.0024611881239555646
34,An Ant War Broke Out After Adding 6 Ant Colonies Into My Rainforest Vivarium,AntsCanada,2024-08-20,540093,31197,4816,0.057762274274985974,0.008916982815922443
35,FATAL FURY: CotW ｜MAI SHIRANUI,SNK OFFICIAL,2024-08-20,283210,14767,1672,0.052141520426538614,0.005903746336640655
