,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Our Son's EPIC 14th Birthday Surprise,The Royalty Family,2024-08-12,5352883,131601,24467,0.024585069391578333,0.004570807917901438
1,DRAGON BALL: Sparking! ZERO – Android Saga Character Trailer,Bandai Namco Entertainment America,2024-08-13,734811,60461,6538,0.08228102192264405,0.008897526030503082
2,Inside Lil Baby’s Stylish Atlanta Oasis | Open Door | Architectural Digest,Architectural Digest,2024-08-13,775582,36387,1514,0.046915735537957304,0.001952082436157621
3,I Played Fortnite Chapter 2,LazarBeam,2024-08-12,2456981,99729,3912,0.04059005747297191,0.0015921979046643014
4,"Fever Feels Horrible, but is Actually Awesome!",Kurzgesagt – In a Nutshell,2024-08-13,1314140,93003,4905,0.07077099852374938,0.0037324790357191775
5,Sean Evans Eats His Last Meal,Mythical Kitchen,2024-08-13,582350,35026,1862,0.060145960333133,0.003197389885807504
6,I Built a Trampoline Park in My House!,Ben Azelart,2024-08-12,9674364,104086,7947,0.010758950149074398,0.0008214493479881468
7,The Firefighters said I was LUCKY TO BE ALIVE after this stupid MISTAKE!!!,Al Bladez,2024-08-13,332510,25612,1459,0.07702625484947821,0.004387837959760609
8,Live stream for Elon Musk-Donald Trump interview crashes,FOX 11 Los Angeles,2024-08-13,560524,3254,2907,0.005805282200226931,0.005186218609729468
9,SARIPODHAA SANIVAARAM Trailer - Nani | Priyanka | SJ Suryah | Vivek Athreya | DVV Danayya,DVV Entertainment,2024-08-13,3661239,177389,4643,0.04845053819212567,0.0012681499350356532
10,we broke up…,Evelyn Ortiz,2024-08-13,251371,9601,702,0.03819454113640794,0.0027926849159210887
11,Rachel Dratch Interrupts Jimmy's Monologue as Australian Olympic Breakdancer Raygun | Tonight Show,The Tonight Show Starring Jimmy Fallon,2024-08-13,823440,8467,1718,0.010282473525697076,0.0020863693772466725
12,Kylie Jenner Eats 11 English Dishes | Vogue,Vogue,2024-08-13,361445,16246,681,0.04494736405262211,0.0018841040822255115
13,Half in the Bag: Borderlands,RedLetterMedia,2024-08-12,787786,33333,4847,0.04231225231217615,0.00615268613557489
14,"Rhea Ripley, Liv Morgan, Dominik Mysterio Talk Things Out | WWE Raw Highlights 8/12/24 | WWE on USA",WWE on USA,2024-08-13,737005,17366,1870,0.023562933765713938,0.002537296219157265
15,Verifying claims from Donald Trump about Kamala Harris's Michigan crowd size,WBIR Channel 10,2024-08-12,191235,3472,2777,0.018155672340314274,0.01452140037127095
16,We Tested 1-Star Vs 5-Star Hotels in Japan,Kalogeras Sisters ,2024-08-12,966767,47226,3725,0.04884941252649294,0.003853048356015462
17,TELLING OUR FAMILY WE’RE PREGNANT!,Jayco & Val,2024-08-12,168063,11146,453,0.06632036795725413,0.0026954177897574125
18,Five Nights at Freddy's: Into The Pit - Part 2,Markiplier,2024-08-12,2302846,138428,5169,0.0601117052551495,0.002244613838702197
19,"El Fother, Lapiz Conciente - Round 4 (Video Oficial) By Carter Films",EL FOTHER,2024-08-13,337026,48211,6493,0.14304831081281563,0.01926557594963
20,Billie Eilish - BIRDS OF A FEATHER (Live from The LA28 Olympic Handover),Billie Eilish,2024-08-12,1108598,70553,2729,0.06364164467191895,0.0024616678002305614
21,A New Era of Pokémon Meme Review,MandJTV Extra,2024-08-13,144407,14672,1374,0.10160172290816927,0.009514774214546386
22,Chuckyy - Devil Hours [Official Music Video],Chuckyy ,2024-08-13,82990,8145,397,0.09814435474153513,0.004783708880588023
23,Fortnite Battle Royale Chapter 5 Season 4 - Absolute Doom | Official Season Trailer,Fortnite,2024-08-11,4856325,165318,16090,0.03404179086037281,0.003313204944067788
24,Former Mesa County clerk Tina Peters guilty of 7 counts in election security breach trial,Denver7,2024-08-13,81894,1684,917,0.020563167020782962,0.011197401519036804
25,Latto - Brokey | From The Block Performance 🎙,4 Shooters Only,2024-08-12,210668,12972,761,0.061575559648356655,0.0036123189093739913
26,Porter Robinson - Hollowheart ft. Amy Millan (Worlds 10th Anniversary Edition),Porter Robinson,2024-08-12,194833,21331,2466,0.10948350638752162,0.012656993425138452
27,"How gold affects Steph Curry's legacy, LeBron named MVP, superteam coming? l FIRST THINGS FIRST",First Things First,2024-08-12,609880,7610,1863,0.01247786449793402,0.0030546992851052668
