,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,SATURDAY NIGHT – Official Trailer (HD),Sony Pictures Entertainment,2024-08-08,512278,10469,909,0.02043616942363326,0.0017744271664994397
1,Ariana Grande Hits a High Note While Eating Spicy Wings | Hot Ones,First We Feast,2024-08-08,1569597,105933,8359,0.06749057242081885,0.005325570831238847
2,FNAF Into The Pit Part 1 - PIT SPRING BONNIE IS HUNTING ME DOWN..,FusionZGamer,2024-08-07,562484,32473,6066,0.05773141991594428,0.010784306753614324
3,Trying Erewhon!,Jake Webber,2024-08-08,541498,38124,3188,0.07040469216876147,0.005887371698510428
4,The *OFFICIAL* NBA 2K25 MYPLAYER BUILDER,Joe Knows,2024-08-08,111288,5051,674,0.045386744303069514,0.006056358277622026
5,3 Girls Fight Over BILLIONAIRE,Foltyn Reacts,2024-08-08,448059,11357,2458,0.025347108304933055,0.00548588467143836
6,NBA 2K25 | MyPLAYER & MyCAREER Courtside Report,NBA 2K,2024-08-08,93081,3982,628,0.04277994434954502,0.006746811916502831
7,Blind Dating 6 Guys Based On Their Parents,Blesiv,2024-08-08,217984,9681,426,0.04441151644157369,0.001954271873165003
8,Colin Farrell Opens Up About His Son With Angelman Syndrome | PEOPLE,People,2024-08-07,2544361,79054,4613,0.03107027658417968,0.0018130288901614198
9,FNAF INTO THE PIT IS HERE & IT IS TERRIFYING!!!,Dawko,2024-08-07,388717,27675,2062,0.07119575423765875,0.005304630360905235
10,unreviewable 2,fantano,2024-08-08,462354,28588,3212,0.061831410564199725,0.0069470578820557405
11,Quincy Hall's family watches him win gold in 400M at Olympics,KSHB 41,2024-08-07,226420,4663,457,0.020594470453140182,0.0020183729352530695
12,I turned a SCHOOL BUS into a LUXURY tiny home,President Chay,2024-08-07,802693,34745,2867,0.04328554005080398,0.0035717266750800118
13,"Warhammer 40,000: Space Marine 2 – Multiplayer Trailer",Warhammer,2024-08-08,328281,17406,1167,0.05302164913595365,0.0035548813364160584
14,Oh...that's NEW episodes of Megamind Rules...,Schaffrillas Productions,2024-08-07,796697,54040,4064,0.06783005333269737,0.005101061005626982
15,Sha'Carri Richardson anchors USA to 4x100m relay final despite slow second exchange | Paris Olympics,NBC Sports,2024-08-08,822670,11628,1086,0.014134464609138538,0.0013200918958999356
16,The funniest product placement I've ever seen (w/ Danny Gonzalez),Drew Gooden,2024-08-06,2355789,162115,7010,0.06881558577614548,0.002975648498231378
17,FINNEAS - For Cryin’ Out Loud! (Official Music Video),FINNEASVEVO,2024-08-08,248306,36157,2063,0.14561468510628015,0.008308297020611664
18,'최초 공개' Stray Kids - JJAM #엠카운트다운 EP.855 | Mnet 240808 방송,Mnet K-POP,2024-08-08,385572,65159,1320,0.16899308041040326,0.003423485107839781
19,I Was MURDERED…,Cash,2024-08-08,318579,8082,1121,0.0253689037883853,0.0035187504512224597
20,Paris 2024 Similar Team Technical Routine of People’s Republic of China,World Aquatics,2024-08-07,391936,3808,305,0.009715871979098628,0.0007781882756368386
21,Quincy Hall finds another gear to come back and win men’s 400m | Paris Olympics | NBC Sports,NBC Sports,2024-08-08,1174043,22755,2492,0.01938174325812598,0.0021225798373654117
22,Quincy Hall DIGS DEEP in comeback win to take 400m gold medal | Paris Olympics | NBC Sports,NBC Sports,2024-08-07,1330568,18678,2908,0.014037614011459768,0.002185532795016865
23,I bought a Bugatti!,VINwiki,2024-08-07,549364,28826,3203,0.05247158532412025,0.005830378401205758
24,Blake Lively Makes Her Key Lime Pie | Now Serving | Vogue,Vogue,2024-08-07,1158514,37749,774,0.03258398258458681,0.0006680972349060952
25,"BIG WIN IN N5 | HIGHLIGHTS | Arsenal vs Bayer Leverkusen (4-1) | Zinchenko, Trossard, Jesus, Havertz",Arsenal,2024-08-08,1218107,30006,1193,0.024633303970833433,0.0009793885102047685
26,So I Broke Minecraft's Code...,Fundy,2024-08-07,591887,41424,2841,0.06998633185050525,0.004799902684127207
27,"Stray Kids ""JJAM"" M/V",JYP Entertainment,2024-08-07,2666453,535353,24346,0.20077346197364063,0.009130481579836584
28,Lucky Blue Smith & Nara Smith Take a Couples Quiz | GQ,GQ,2024-08-07,500629,29412,846,0.058750092383781205,0.0016898741383339758
29,"Steelers, 49ers verbally agree on Aiyuk deal, Hurts-Sirianni's relationship | FIRST THINGS FIRST",First Things First,2024-08-07,314819,4223,946,0.013414056966066215,0.0030049012289601325
30,Dive into fun with Summer Games!,Hay Day,2024-08-07,706309,16976,651,0.02403480629582803,0.0009216929134415674
31,Canelo Alvarez vs Edgar Berlanga HEATED LA Press Conference & Face Off Video,Fight Hub TV,2024-08-06,437544,6465,3199,0.01477565684822555,0.007311264695664893
32,Megan Thee Stallion - Mamushi (feat. Yuki Chiba) [2024 London Performance],Megan Thee Stallion,2024-08-07,470856,34956,1508,0.07423925786227636,0.003202677676402127
33,Easily 3 Star Mirror Clone Technique Challenge (Clash of Clans),Judo Sloth Gaming,2024-08-07,637655,21503,598,0.03372199700464985,0.0009378111988457708
34,Five Nights at Freddy's: Secret of the Mimic - Teaser Debut,Steel Wool Studios,2024-08-06,789162,70556,6075,0.0894062309132979,0.007698039185870581
35,A.I. ‐ Humanity's Final Invention?,Kurzgesagt – In a Nutshell,2024-08-06,2770260,137502,11590,0.049635052305559764,0.004183722827460238
36,"Paris 2024 | BAR's Williams 3rd in Women's 400m semis, CUB's Gomez 5th, JA's Williams 7th |SportsMax",SportsMax TV,2024-08-07,366458,1542,75,0.004207849194177778,0.0002046619257868569
37,I Tested 1-Star Basketball Products,Jesser,2024-08-06,849385,14760,747,0.017377278854700754,0.000879459844475709
38,Just the TIP?,sWooZie,2024-08-07,180276,14803,522,0.08211298231600435,0.002895560141116954
39,"New Castlevania Killer ""Dracula"" (Mori, Power, Survivor, Perks...) | Dead by Daylight PTB",not Otzdarva,2024-08-06,524151,21391,1809,0.04081075873173952,0.003451295523618194
40,Dead by Daylight | Castlevania | Official Trailer,Dead by Daylight,2024-08-06,810180,37783,2579,0.04663531560887704,0.0031832432298995283
41,NEW KILLER DRACULA IS INSANELY FUN!!!,SpookyLoopz,2024-08-06,614759,21259,1640,0.03458103094057997,0.0026677120627758193
42,6 White People VS 2 Secret Black People,NDL,2024-08-06,1872074,80244,2468,0.042863690217373886,0.0013183239551427988
43,Cooking on the American Homefront During WWII,Tasting History with Max Miller,2024-08-06,795190,47695,5532,0.05997937599818911,0.006956827927916598
44,Men's 100 Meter Finals Were HISTORIC || Noah Lyles VS. Kishane Thompson - Paris Olympics 2024,Total Running Productions,2024-08-04,2732151,14228,2359,0.005207618466182872,0.0008634222632643657
45,fortnite added a NEW MINIGUN!,McCreamy,2024-08-06,1056615,15785,1041,0.014939216270827123,0.0009852216748768472
46,I Hired A Professional For Every Task Of My Day,Hangtime,2024-08-06,356928,13527,1812,0.03789839967724583,0.005076654115115654
47,I Turned Myself Into a Parasite to Fool my Friend,Doni Bobes,2024-08-06,446348,17155,1756,0.0384341365929723,0.003934150035398389
48,How French Drains Work,Practical Engineering,2024-08-06,830898,37315,1255,0.044909242771074186,0.0015104140339728823
49,We Played DRESS TO IMPRESS Roblox!,Kalogeras Sisters ,2024-08-05,1521656,61027,6493,0.04010564805711672,0.00426706167491207
50,They Added DRACULA To Dead by Daylight!,Ayrun,2024-08-06,317997,12959,973,0.040751956779466476,0.0030597772934964794
51,Chuttamalle | Devara Second Single | NTR | Janhvi Kapoor | Anirudh Ravichander | Shilpa Rao | 27 Sep,T-Series Telugu,2024-08-05,33908353,613817,27119,0.018102235752942644,0.0007997734363565226
52,Shelly-Ann Fraser-Pryce & Sha'Carri Richardson THROW DOWN  In Women's 100 Meters || 2024 Olympics,Total Running Productions,2024-08-02,2123749,9531,907,0.004487818475723826,0.00042707495094759313
53,"*SUPER RARE* THE PARADIGM IS BACK?!?!? Fortnite Item Shop [August 6th, 2024] (Fortnite Chapter 5)",I Talk,2024-08-07,99798,5013,1771,0.05023146756448025,0.017745846610152508
54,Twins Swap Birthday Gift Exchange - Merrell Twins,merrelltwins,2024-08-06,279166,14868,1398,0.053258634647485724,0.005007773152891111
55,I let my stream buy ANYTHING on Temu...,Crispy Concords,2024-08-05,525021,26818,1714,0.05107986156744206,0.0032646313195091245
56,SIZZILIN HOT Helluva Boss + Hazbin Hotel Summer,Vivziepop,2024-08-06,772838,53807,2585,0.06962261172457876,0.003344814825357966
57,SIDEMEN AMONG US: PHANTOM & MYSTIC ROLES,MoreSidemen,2024-08-05,3599455,168956,4236,0.046939328314981016,0.0011768448278975567
58,Hunters vs VENOM in Minecraft!,Cash,2024-08-06,754511,11619,958,0.01539937787520659,0.001269696531925976
59,Unprepared certainty…,The Weeknd,2024-08-06,690476,72439,4449,0.10491168411356804,0.006443381087829265
60,The Legend of Zelda: Echoes of Wisdom – Traversing Hyrule Trailer – Nintendo Switch,Nintendo of America,2024-08-05,1587802,78669,7837,0.04954585017527374,0.0049357539542083965
61,FNAF x Fortnite Is CANCELLED..,Top5Gaming,2024-08-06,997224,19671,1995,0.019725758706168325,0.0020005535366176505
