,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Joe Rogan Experience #2187 - Adam Sandler,PowerfulJRE,2024-08-13,3856658,90998,12886,0.023595040057998402,0.0033412348204066838
1,Season 12: New Frontiers Official Trailer | Overwatch 2,PlayOverwatch,2024-08-14,494832,27352,4403,0.05527532576712905,0.008897969411840786
2,KRAVEN - New Trailer (HD),Sony Pictures Entertainment,2024-08-14,2092732,83646,10466,0.03996976201443854,0.005001118155597563
3,AMP NEW NYC MANSION TOUR,AMP,2024-08-13,2826783,121850,5405,0.04310553728390188,0.001912067534013046
4,"The Really Good Podcast | Peso Pluma: ""Tio Peso""",Bobbi Althoff,2024-08-14,153559,8117,798,0.05285916162517339,0.005196699639877832
5,The Blake Lively interview that made me want to quit my job.,Kjersti Flaa,2024-08-10,562160,10165,2746,0.018082040700156538,0.004884730325885869
6,Something About Banjo-Kazooie ANIMATED (Loud Sound Warning) 🐻🐦,TerminalMontage,2024-08-14,533837,63767,4599,0.11945031910489531,0.008614989219555782
7,Duke Dennis meets Gio for the first time..,DukeDennis LIVE,2024-08-14,300225,13885,906,0.046248646848197184,0.0030177366974768922
8,"Dominik Mysterio’s Relationship w/ Liv Morgan, Betraying Rhea Ripley, Logan Paul Tag Team: 425",IMPAULSIVE,2024-08-13,952140,34874,2478,0.036626966622555504,0.0026025584472871635
9,How Breakdancing Broke the Olympics,Josh Johnson,2024-08-14,536292,31580,1997,0.05888583085334109,0.0037237176761913287
10,Inside Lil Baby’s Stylish Atlanta Oasis | Open Door | Architectural Digest,Architectural Digest,2024-08-13,1616592,57931,2317,0.03583526331937805,0.0014332620723101438
11,Rachel Dratch Interrupts Jimmy's Monologue as Australian Olympic Breakdancer Raygun | Tonight Show,The Tonight Show Starring Jimmy Fallon,2024-08-13,1640951,14186,2826,0.008644986961828843,0.0017221720819207886
12,Our Son's EPIC 14th Birthday Surprise,The Royalty Family,2024-08-12,6671734,149485,26517,0.022405719412674427,0.003974528960537096
13,Escape from Tarkov Beta - 0.15 Patch trailer (feat. Partisan),Battlestate,2024-08-14,223013,15815,1431,0.0709151484442611,0.0064166662929963725
14,MultiVersus - Official Beetlejuice “What’s My Name” Gameplay Trailer,MultiVersus,2024-08-14,159095,8569,823,0.05386090071969578,0.005173009836889908
15,DRAGON BALL: Sparking! ZERO – Android Saga Character Trailer,Bandai Namco Entertainment America,2024-08-13,970956,67093,7167,0.06909993861719789,0.0073813849443229145
16,"Fever Feels Horrible, but is Actually Awesome!",Kurzgesagt – In a Nutshell,2024-08-13,2345728,140365,6658,0.059838566108261486,0.0028383512495907454
17,Baby Kia - WYG (feat. LAZER DIM 700) [Official Music Video],Baby Kia,2024-08-13,218316,19913,1158,0.09121182139650781,0.005304237893695377
18,TELLING OUR FRIENDS WE’RE PREGNANT!,Jayco & Val,2024-08-14,155301,10082,368,0.06491909260082034,0.002369591953689931
19,LISA - NEW WOMAN feat. Rosalía (MV Teaser),LLOUD Official,2024-08-14,3229918,265675,12503,0.08225441017388058,0.0038709961057834903
20,Sean Evans Eats His Last Meal,Mythical Kitchen,2024-08-13,1018290,48856,2410,0.04797847371573913,0.0023667128224768973
21,I Played Fortnite Chapter 2,LazarBeam,2024-08-12,3197567,116508,4218,0.036436453090740555,0.0013191279494690806
22,SARIPODHAA SANIVAARAM Trailer - Nani | Priyanka | SJ Suryah | Vivek Athreya | DVV Danayya,DVV Entertainment,2024-08-13,10389778,270155,6469,0.026001999272746733,0.0006226312054020788
23,The Firefighters said I was LUCKY TO BE ALIVE after this stupid MISTAKE!!!,Al Bladez,2024-08-13,534840,33539,1948,0.06270847356218683,0.0036422107546182038
24,Gunna - today i did good [Official Video],Gunna,2024-08-13,418740,28105,1473,0.06711802072885323,0.0035176959449777904
25,Insane Things You CAN'T UNSEE in Minecraft,PrestonPlayz,2024-08-13,1325133,28127,2865,0.021225793939174408,0.0021620471303635184
26,New Season | Sister Wives | TLC,TLC,2024-08-13,127405,1456,508,0.011428122915113222,0.003987284643459833
27,I Built a Trampoline Park in My House!,Ben Azelart,2024-08-12,11845180,118643,8632,0.010016141586704465,0.0007287352323898835
28,Guess The McLaren Driver,Quadrant,2024-08-14,141210,9842,269,0.06969761348346434,0.0019049642376602223
29,Kylie Jenner Eats 11 English Dishes | Vogue,Vogue,2024-08-13,696679,25546,1024,0.036668250370687216,0.0014698304384085066
30,"Club América vs. St. Louis CITY SC | Leagues Cup | 6-Goal Thriller! | August 13, 2024",Major League Soccer,2024-08-14,113324,1977,341,0.017445554339769156,0.003009071335286435
31,Our Town got hit by an Earthquake!,The Anazala Family ,2024-08-13,2100145,36156,16054,0.017215954136500098,0.007644234088598645
32,Only Murders in the Building | Season 4 Trailer | Hulu,Hulu,2024-08-13,2725946,3821,220,0.0014017152210645406,8.070592741015413e-05
33,we broke up…,Evelyn Ortiz,2024-08-13,306431,10576,791,0.0345134793803499,0.0025813315232466687
34,"Joe Burrow Bengals QB, NFL’s Top 5, new offensive additions, Ja’Marr Chase & 2024 goals | The Pivot",The Pivot Podcast,2024-08-13,311246,8903,624,0.028604383670794164,0.002004845042185281
35,3-year-old girl from Loon Lake attacked by bear while sleeping at Montana campground,KREM 2 News,2024-08-14,121145,1084,614,0.008947954930042511,0.0050683065747657765
36,Live stream for Elon Musk-Donald Trump interview crashes,FOX 11 Los Angeles,2024-08-13,589307,3339,2979,0.0056659771562190845,0.005055090131289803
37,"El Fother, Lapiz Conciente - Round 4 (Video Oficial) By Carter Films",EL FOTHER,2024-08-13,639743,75350,9238,0.11778167170254306,0.01444017363222419
38,【MV】Breaking Dimensions【hololive English Original Song】,hololive English,2024-08-13,324058,51226,2333,0.15807664060137383,0.007199328515265785
39,We Tested 1-Star Vs 5-Star Hotels in Japan,Kalogeras Sisters ,2024-08-12,1311009,56241,4092,0.042899018999869566,0.00312126003711645
40,Five Nights at Freddy's: Into The Pit - Part 2,Markiplier,2024-08-12,2743594,154346,5586,0.05625686599402098,0.0020360155329104818
41,What if we teleported the oceans to Mars?,xkcd's What If?,2024-08-13,456675,33945,1147,0.07433076038758417,0.002511632999397821
42,"Into the Pit is PEAK FNAF, so of course I broke it.",Backseat Streams,2024-08-13,224961,14310,626,0.06361102591115793,0.0027827045576788866
43,Chuckyy - Devil Hours [Official Music Video],Chuckyy ,2024-08-13,127282,9714,478,0.07631872535001022,0.0037554406750365333
44,"Rhea Ripley, Liv Morgan, Dominik Mysterio Talk Things Out | WWE Raw Highlights 8/12/24 | WWE on USA",WWE on USA,2024-08-13,826509,18498,1976,0.022380881514901835,0.0023907785638147922
45,TELLING OUR FAMILY WE’RE PREGNANT!,Jayco & Val,2024-08-12,204288,12328,504,0.060346177944862155,0.0024671052631578946
46,Why is it so dangerous to step on a rusty nail? - Louise Thwaites,TED-Ed,2024-08-13,882810,38946,1330,0.044115947938967615,0.0015065529389109774
47,A New Era of Pokémon Meme Review,MandJTV Extra,2024-08-13,213410,18519,1679,0.0867766271496181,0.00786748512253409
48,Men's 4x100m Final | Paris Champions,Olympics,2024-08-13,2149939,20501,1127,0.009535619382689462,0.00052420091918887
49,Half in the Bag: Borderlands,RedLetterMedia,2024-08-12,897206,35915,5107,0.040029825926264424,0.005692115300165179
50,Latto - Brokey | From The Block Performance 🎙,4 Shooters Only,2024-08-12,305710,16171,915,0.05289653593274672,0.002993032612606719
51,Porter Robinson - Hollowheart ft. Amy Millan (Worlds 10th Anniversary Edition),Porter Robinson,2024-08-12,239509,22801,2580,0.09519892780647074,0.010772037793986864
52,The Lord of the Rings: The Rings of Power | Season 2 – Official Trailer | Prime Video,Prime Video,2024-08-14,2197500,18594,2126,0.008461433447098977,0.0009674630261660978
53,Former Mesa County clerk Tina Peters guilty of 7 counts in election security breach trial,Denver7,2024-08-13,96365,1789,987,0.01856483162974109,0.010242307891869454
