,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
0,Sonic the Hedgehog 3 - Official Trailer,Sonic the Hedgehog,2024-08-27,5620057,350893,0,0.06243584362222661,0.0
1,YAILIN LA MAS VIRAL - PERDI MI TIEMPO (Video Oficial),Yailin La Mas Viral,2024-08-28,1261450,144481,17340,0.11453565341472115,0.013746085853581197
2,Indie World Showcase + Nintendo Direct: Partner Showcase 8.27.2024,Nintendo of America,2024-08-27,1977875,55505,4830,0.028062946343929723,0.002442014788598875
3,Ella Langley (feat. Riley Green) - you look like you love me (Official Video),EllaLangleyVEVO,2024-08-28,100790,6926,393,0.06871713463637266,0.0038991963488441313
4,Why Democracy Is Mathematically Impossible,Veritasium,2024-08-27,1879353,96790,10423,0.05150176683145742,0.005546057605995255
5,SIDEMEN AMONG US DRAFT MODE: CHOOSE YOUR OWN ROLE,MoreSidemen,2024-08-27,3080714,176771,4685,0.05737988011869975,0.00152075135828902
6,The Legend Of Vox Machina Season 3 | Official Trailer,Critical Role,2024-08-28,252613,27855,1262,0.11026748425457122,0.00499578406495311
7,NBA 2K25 MYPLAYER BUILDER COMPLETE BREAKDOWN (MUST WATCH),Joe Knows,2024-08-28,155414,11281,847,0.07258676824481707,0.005449959463111431
8,Film Theory: Marvel Paid $100M for Him... Is it Worth It?,The Film Theorists,2024-08-27,794849,41083,3087,0.051686546752905266,0.003883756537405218
9,We Traveled Back in Time. Now Physicists Are Angry.,Kurzgesagt – In a Nutshell,2024-08-27,2869594,141964,5808,0.049471806813089235,0.002023979698870293
10,Best New Summer Snacks Taste Test,Good Mythical MORE,2024-08-28,124543,5221,297,0.04192126414170206,0.00238471853094915
11,MY CRUSH'S SISTER BEING MEAN TO ME *PRANK*,Badbishlily,2024-08-28,352381,16190,3837,0.04594458838586644,0.010888782312326714
12,I Accidentally went on a Gay Date,sWooZie,2024-08-28,117676,15523,1099,0.1319130493898501,0.009339202556171182
13,"11-Year-Old Guitarist Maya Neelakantan Performs ""Master Of Puppets"" | Quarterfinals | AGT 2024",America's Got Talent,2024-08-28,385536,5319,581,0.013796376992031872,0.0015069928618857901
14,I tried Cuphead’s hardest challenge,EazySpeezy,2024-08-27,393977,16309,921,0.04139581752234268,0.002337699916492587
15,2025 Inflation Reduction Act and Medicare Part D Changes,UnitedHealthcare Medicare Plans,2024-08-21,169955,642,0,0.003777470506898885,0.0
16,The Impossible Road Ahead (#18),Settled,2024-08-27,340311,19027,1280,0.05591062293020208,0.003761265430738354
17,My thoughts on my 2023/24 season and the truth about my future. Talk with my friend Rio (PART 1),UR · Cristiano,2024-08-28,6241783,1102278,72885,0.17659665515446468,0.011676951922231196
18,Star Wars Outlaws - Before You Buy,gameranx,2024-08-27,743696,31024,5234,0.04171596996622276,0.00703782190572492
19,"""Sonic the Hedgehog 3"" Official Trailer REACTION!!!",Dwayne N Jazz,2024-08-27,138268,9154,789,0.06620476176700321,0.005706309485925883
20,YFG Fatso - Walk In (Official Music Video),YFG Fatso,2024-08-28,62756,5746,291,0.09156096628210848,0.004637006820065014
21,Attach (Teaser) Sidhu Moose Wala  | Steel Banglez ft Fredo,Sidhu Moose Wala,2024-08-28,972248,195131,35590,0.20070084998889173,0.03660588656392196
22,Metal Drummer Hears Led Zeppelin For The First Time,Drumeo,2024-08-27,750361,46192,6491,0.06155970259648356,0.008650502891275
23,Shane Gillis x Bud Light | The Dean’s Office,Bud Light,2024-08-27,194603,6896,782,0.03543624712876985,0.004018437536934169
24,SONIC THE HEDGEHOG 3 TRAILER REACTION!! Shadow | Knuckles | Jim Carrey | Keanu Reeves,Reel Rejects,2024-08-27,170030,8363,520,0.04918543786390637,0.0030582838322648943
25,EXTREME KITCHEN ORGANIZATION *DIY Drawer Dividers & Spice Tray*,"XO, MaCenna",2024-08-28,137944,16185,978,0.11733022095922983,0.007089833555645769
26,ASMR For when you REALLY need to sleep 💤,ASMR Glow,2024-08-27,217791,8235,475,0.03781147981321542,0.0021809900317276655
27,NBA 2K25 COMPLETE GAMEPLAY BREAKDOWN,Joe Knows,2024-08-27,304813,11369,1052,0.03729827796058567,0.0034512963685932032
28,The Beatles Bully Ringo,Doobus Goobus,2024-08-27,181574,26879,929,0.14803330873362927,0.0051163712866379545
29,Chuckyy - $Everyhot (Official Music Video),Chuckyy ,2024-08-27,66532,5311,283,0.07982624902302651,0.0042535922563578426
30,What Minecraft Looks Like for a Mojang Dev,EightSidedSquare,2024-08-27,503765,25483,1245,0.05058509424037001,0.002471390430061636
31,Daz Watches TikToks My Wife Sent Me,Daz Games,2024-08-27,470820,35609,1585,0.0756318763009218,0.003366467014995115
32,every song my wife listens to sounds like this,ProZD,2024-08-27,200412,17276,919,0.08620242300860229,0.0045855537592559325
33,Magic Johnson was HIGHLY AGITATED by Ant-Man's MJ comments 👀 - Shannon Sharpe | First Take,NBA on ESPN,2024-08-26,854270,8129,4422,0.00951572687791916,0.005176349397731397
34,2024 DOKKAN NOW! SPECIAL (Worldwide Campaign),Bandai Namco Entertainment,2024-08-27,211153,0,0,0.0,0.0
35,I'm pregnant ...#2025,Chloé Yazmean,2024-08-27,87108,0,3803,0.0,0.04365844698535152
36,"""Accidentally"" Burning Down my House in My Summer Car",martincitopantsLIVE,2024-08-26,841016,45794,1567,0.05445080711900844,0.0018632225784051672
37,DJ Tower Rework Trailer | Tower Defense Simulator,Paradoxum Games,2024-08-27,191260,8703,2777,0.045503503084806024,0.014519502248248458
38,How I Got the FNCS PICKAXE 😍,Premfn,2024-08-27,939267,15432,2220,0.016429833050666105,0.002363545190025839
39,SONIC MOVIE 3 TRAILER WAS LIFE CHANGING. LIVE REACTION,Games Cage,2024-08-27,99360,6330,642,0.06370772946859904,0.006461352657004831
40,Capcom Fighting Collection 2 - Announce Trailer,Street Fighter,2024-08-27,236416,18746,3630,0.07929243367623173,0.015354290741743368
41,Super/Man: The Christopher Reeve Story | Official Trailer,Warner Bros. Pictures,2024-08-26,3785093,90943,3846,0.024026622331340338,0.001016091282301386
42,Goodbye Rabbit.,VINwiki,2024-08-26,1168493,94641,12673,0.08099406671670263,0.0108455934267471
43,Beetlejuice goes ghost pepper while eating to die for ribs | Beetlejuice Beetlejuice,Warner Bros. Pictures,2024-08-26,534238,17122,748,0.03204938622860972,0.0014001250379044546
44,Trap Dickey Feat DaBaby - Blue Devils Remix (Official Video),TRAP DICKEY,2024-08-26,178461,12637,856,0.07081098951591665,0.004796566196535938
45,"Flau'jae, Lil Wayne - Came Out A Beast (Official Music Video)",FlaujaeVEVO,2024-08-26,526847,25794,2183,0.04895918549408083,0.004143517947335754
46,KG & Paul Respond To Ant Edwards 'Eras' Comment | TICKET & THE TRUTH,ALL THE SMOKE,2024-08-26,395612,11749,3933,0.02969829024397642,0.009941558901145568
47,How To Make 17th Century Clotted Cream - A History,Tasting History with Max Miller,2024-08-27,362084,28502,2311,0.07871654091315827,0.006382496879177207
48,"Indiana Fever vs. Atlanta Dream | FULL GAME HIGHLIGHTS | August 26, 2024",WNBA,2024-08-27,191185,2537,603,0.013269869498130084,0.0031540131286450297
49,Dee Billz - Sugarhill Mind Your Business (WhoRunItNYC Performance),Dee Billz,2024-08-26,136233,9721,676,0.07135569208635206,0.0049620870126914915
50,Ep.3: KaNa takes Dallas | Kenny Asks Me Out 🥰,Jana Craig,2024-08-26,228456,19285,1189,0.08441450432468396,0.005204503274153447
51,Bloodhound Q50 - 762 (Official Music Video),Bloodhound Q50,2024-08-26,136215,9751,838,0.07158536137723452,0.006152039055904269
52,Call of Duty: Black Ops 6 - Multiplayer Reveal Trailer,Call of Duty,2024-08-26,27900250,71707,6650,0.002570120339423482,0.0002383491187354952
53,Oasis - Oasis Live '25 [Official Trailer],Oasis,2024-08-27,843416,47169,4971,0.05592613846547848,0.005893888662297135
54,Sonic the Hedgehog 3 | Projections From Around the World,Paramount Pictures,2024-08-26,329964,23129,3018,0.07009552557248669,0.0091464523402553
55,Here's Why My Flooded McLaren P1 Project Is Taking Way Longer Than I Thought,2varish,2024-08-26,740735,35376,1900,0.04775797012426846,0.0025650198789040615
56,"An Official Tribute To Rob ""The Rabbit"" Pitts",Rob Pitts,2024-08-27,148003,16516,1518,0.11159233258785295,0.010256548853739451
